52;4;PL;DA;3y;17;3
53;1;OD;ol;3x;9;3
53;2;OD;HI;3y;9;3
53;3;OA;Fy;3w;4;3
53;3;ID;Bi;3y;13;3
53;3;TQ;SA;3x;17;3
53;4;OA;Fy;3w;11;3
54;1;PL;DA;3y;8;3
54;1;TQ;SA;3x;16;3
54;1;LM;DA;3t;4;3
54;2;OD;HI;3t;8;3
54;3;TQ;SA;3x;15;3
54;3;AP;HI;3w;5;3
54;3;OA;fy;3t;17;3
54;4;MD;Fy;3x;1;3
55;1;TQ;SA;3x;4;3
55;2;PW;EN;3t;14;3
55;3;TQ;SA;3x;13;3
55;3;LM;DA;3t;5;3
55;4;HD;MA;3w;3;3
55;4;BB;EN;3x;19;3
55;4;OA;fy;3t;18;3
56;1;PW;DA;3w;1;3
56;1;OD;HI;3y;4;3
56;2;AP;HI;3w;16;3
56;3;BB;EN;3x;12;3
56;3;SR;BT;3w;2;3
56;4;OD;HI;3y;6;3
57;1;TT;re;3w;0;3
57;2;HD;MA;3w;12;3
57;3;OD;ol;3y;0;3
57;4;BE;DA;3x;13;3
58;1;SR;BT;3w;14;3
58;2;LM;EN;3y;10;3
58;3;TT;re;3w;5;3
58;4;TT;re;3t;1;3
58;4;OD;ol;3x;2;3
59;2;PW;DA;3w;13;3
59;2;OD;ol;3x;16;3
59;3;HD;MA;3w;18;3
59;3;PW;EN;3t;14;3
60;1;PW;EN;3t;2;3
60;1;SR;BT;3w;0;3
60;2;TQ;SA;3x;10;3
60;2;LM;EN;3y;17;3
60;2;PW;DA;3w;15;3
60;3;PW;EN;3t;6;3
60;3;PL;DA;3y;4;3
60;4;BE;DA;3x;6;3
60;4;LM;DA;3t;12;3
61;1;PW;EN;3t;10;3
61;1;TT;re;3w;14;3
61;1;PL;DA;3y;5;3
61;2;BB;EN;3x;6;3
61;2;HD;MA;3w;15;3
61;2;OD;HI;3y;9;3
61;4;PL;DA;3y;2;3
62;1;MD;Fy;3x;11;3
62;1;SR;BT;3w;19;3
62;2;PW;DA;3w;9;3
62;2;MD;Fy;3x;1;3
62;3;TT;re;3t;7;3
62;4;ID;Bi;3y;2;3
63;1;LM;DA;3t;12;3
63;1;ID;Bi;3y;2;3
63;2;OA;Fy;3w;16;3
63;2;TQ;SA;3x;8;3
63;2;LM;DA;3t;1;3
63;2;PL;DA;3y;9;3
63;3;BB;EN;3x;12;3
63;3;OA;Fy;3w;14;3
63;3;OD;HI;3y;0;3
63;4;BE;DA;3x;4;3
63;4;TT;re;3t;9;3
63;4;ID;Bi;3y;16;3
64;1;OD;ol;3x;6;3
64;2;TQ;SA;3x;2;3
64;2;HD;MA;3w;1;3
64;3;LM;DA;3t;4;3
64;4;HD;MA;3w;3;3
64;4;OD;HI;3t;6;3
65;3;AP;HI;3w;12;3
65;4;OD;HI;3y;4;3
66;1;SR;BT;3w;5;3
66;1;BB;EN;3x;1;3
66;3;PW;EN;3t;3;3
66;3;BB;EN;3x;10;3
66;4;BB;EN;3x;17;3
67;1;OA;Fy;3w;11;3
67;2;PW;EN;3t;2;3
67;2;TT;re;3w;6;3
67;3;BE;DA;3x;9;3
67;4;LM;EN;3y;16;3
67;4;BB;EN;3x;8;3
68;1;OD;HI;3t;10;3
68;2;BB;EN;3x;14;3
68;3;PW;EN;3t;19;3
68;3;ID;Bi;3y;3;3
68;4;SR;BT;3w;8;3
68;4;TQ;SA;3x;16;3
69;1;BB;EN;3x;14;3
69;2;LM;EN;3y;14;3
69;3;OD;ol;3x;8;3
69;3;TT;re;3t;2;3
69;4;LM;EN;3y;19;3
70;1;ID;Bi;3y;8;3
70;2;OA;Fy;3w;5;3
70;2;BB;EN;3x;1;3
70;3;BB;EN;3x;3;3
70;3;OD;HI;3t;19;3
70;3;HD;MA;3w;12;3
70;4;PW;DA;3w;1;3
71;1;BB;EN;3x;17;3
71;1;PW;DA;3w;5;3
71;3;PW;EN;3t;17;3
71;3;HD;MA;3w;4;3
71;3;BB;EN;3x;10;3
71;4;PW;DA;3w;8;3
72;2;TT;re;3t;15;3
72;3;LM;EN;3y;19;3
72;4;TT;re;3w;18;3
72;4;OD;HI;3y;17;3
73;1;OD;ol;3x;2;3
73;2;SR;BT;3w;3;3
73;2;OD;ol;3x;7;3
73;3;KD;HI;3x;7;3
73;3;AP;HI;3w;6;3
73;4;PW;DA;3w;18;3
74;1;LM;DA;3t;1;3
74;1;TT;re;3w;5;3
74;2;OD;ol;3x;5;3
74;2;AP;HI;3w;13;3
74;3;PW;EN;3t;11;3
74;4;HD;MA;3w;6;3
74;4;OD;HI;3t;4;3
75;2;MD;Fy;3x;5;3
75;2;ID;Bi;3y;6;3
75;3;PL;DA;3y;12;3
75;4;PW;DA;3w;0;3
75;4;TQ;SA;3x;6;3
76;1;BE;DA;3x;12;3
76;1;LM;DA;3t;18;3
76;2;OD;HI;3t;16;3
76;3;BB;EN;3x;12;3
76;3;OD;ol;3y;2;3
76;3;AP;HI;3w;10;3
76;4;BE;DA;3x;13;3
76;4;TT;re;3t;8;3
77;2;TQ;SA;3x;19;3
77;2;LM;EN;3y;17;3
77;2;SR;BT;3w;16;3
77;2;OD;HI;3t;0;3
77;3;AP;HI;3w;10;3
